dataset,node,window,R,k,id,precision,recall,fscore
BGP_testbed_2,leaf1,10,1.0,2,0,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,1.0,2,1,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf3,10,1.0,2,2,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf5,10,1.0,2,3,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,1.0,2,4,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf7,10,1.0,2,5,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf8,10,1.0,2,6,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine1,10,1.0,2,7,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine2,10,1.0,2,8,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine3,10,1.0,2,9,0.04,1.0,0.04950495049504951
BGP_testbed_2,spine4,10,1.0,2,10,0.05,1.0,0.0617283950617284
BGP_testbed_3,leaf1,10,1.0,2,11,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf2,10,1.0,2,12,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf3,10,1.0,2,13,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf5,10,1.0,2,14,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf6,10,1.0,2,15,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf7,10,1.0,2,16,0.1,1.0,0.12195121951219513
BGP_testbed_3,leaf8,10,1.0,2,17,0.09,1.0,0.1100244498777506
BGP_testbed_3,spine1,10,1.0,2,18,0.08,1.0,0.09803921568627451
BGP_testbed_3,spine2,10,1.0,2,19,0.08,1.0,0.09803921568627451
BGP_testbed_3,spine3,10,1.0,2,20,0.08,1.0,0.09803921568627451
BGP_testbed_3,spine4,10,1.0,2,21,0.09,1.0,0.1100244498777506
BGP_testbed_2,leaf1,10,1.0,3,22,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf2,10,1.0,3,23,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf3,10,1.0,3,24,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf5,10,1.0,3,25,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf6,10,1.0,3,26,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf7,10,1.0,3,27,0.05,1.0,0.0617283950617284
BGP_testbed_2,leaf8,10,1.0,3,28,0.05,1.0,0.0617283950617284
