dataset,node,epsilon,min_samples,id,precision,recall,fscore
BGP_testbed_2,leaf1,1.0,2,0,0.44,1.0,0.4954954954954955
BGP_testbed_2,leaf2,1.0,2,1,0.32,1.0,0.37037037037037035
BGP_testbed_2,leaf3,1.0,2,2,0.44,1.0,0.4954954954954955
BGP_testbed_2,leaf5,1.0,2,3,0.32,1.0,0.37037037037037035
BGP_testbed_2,leaf6,1.0,2,4,0.21,1.0,0.24940617577197152
BGP_testbed_2,leaf7,1.0,2,5,0.21,1.0,0.24940617577197152
BGP_testbed_2,leaf8,1.0,2,6,0.12,1.0,0.14563106796116504
BGP_testbed_2,spine1,1.0,2,7,0.09,1.0,0.1100244498777506
BGP_testbed_2,spine2,1.0,2,8,0.1,1.0,0.12195121951219513
BGP_testbed_2,spine3,1.0,2,9,0.12,1.0,0.14563106796116504
BGP_testbed_2,spine4,1.0,2,10,0.35,1.0,0.40229885057471265
BGP_testbed_3,leaf1,1.0,2,11,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf2,1.0,2,12,0.35,1.0,0.40229885057471265
BGP_testbed_3,leaf3,1.0,2,13,0.5,1.0,0.5555555555555556
BGP_testbed_3,leaf5,1.0,2,14,0.36,1.0,0.4128440366972476
BGP_testbed_3,leaf6,1.0,2,15,0.24,1.0,0.2830188679245283
BGP_testbed_3,leaf7,1.0,2,16,0.24,1.0,0.2830188679245283
BGP_testbed_3,leaf8,1.0,2,17,0.17,1.0,0.20383693045563553
BGP_testbed_3,spine1,1.0,2,18,0.21,1.0,0.24940617577197152
BGP_testbed_3,spine2,1.0,2,19,0.16,1.0,0.19230769230769232
BGP_testbed_3,spine3,1.0,2,20,0.21,1.0,0.24940617577197152
BGP_testbed_3,spine4,1.0,2,21,0.19,1.0,0.2267303102625298
BGP_testbed_2,leaf1,1.0,4,22,0.24,1.0,0.2830188679245283
BGP_testbed_2,leaf2,1.0,4,23,0.16,1.0,0.19230769230769232
BGP_testbed_2,leaf3,1.0,4,24,0.15,1.0,0.18072289156626503
BGP_testbed_2,leaf5,1.0,4,25,0.14,1.0,0.16908212560386476
BGP_testbed_2,leaf6,1.0,4,26,0.15,1.0,0.18072289156626503
BGP_testbed_2,leaf7,1.0,4,27,0.12,1.0,0.14563106796116504
BGP_testbed_2,leaf8,1.0,4,28,0.07,1.0,0.085995085995086
BGP_testbed_2,spine1,1.0,4,29,0.07,1.0,0.085995085995086
BGP_testbed_2,spine2,1.0,4,30,0.07,1.0,0.085995085995086
BGP_testbed_2,spine3,1.0,4,31,0.09,1.0,0.1100244498777506
BGP_testbed_2,spine4,1.0,4,32,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf1,1.0,4,33,0.62,1.0,0.670995670995671
BGP_testbed_3,leaf2,1.0,4,34,0.23,1.0,0.2718676122931442
BGP_testbed_3,leaf3,1.0,4,35,0.25,1.0,0.29411764705882354
BGP_testbed_3,leaf5,1.0,4,36,0.22,1.0,0.26066350710900477
BGP_testbed_3,leaf6,1.0,4,37,0.14,1.0,0.16908212560386476
BGP_testbed_3,leaf7,1.0,4,38,0.14,1.0,0.16908212560386476
BGP_testbed_3,leaf8,1.0,4,39,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine1,1.0,4,40,0.15,1.0,0.18072289156626503
BGP_testbed_3,spine2,1.0,4,41,0.12,1.0,0.14563106796116504
BGP_testbed_3,spine3,1.0,4,42,0.19,1.0,0.2267303102625298
BGP_testbed_3,spine4,1.0,4,43,0.15,1.0,0.18072289156626503
BGP_testbed_2,leaf1,1.0,6,44,0.12,1.0,0.14563106796116504
BGP_testbed_2,leaf2,1.0,6,45,0.08,1.0,0.09803921568627451
BGP_testbed_2,leaf3,1.0,6,46,0.11,1.0,0.13381995133819952
BGP_testbed_2,leaf5,1.0,6,47,0.11,1.0,0.13381995133819952
BGP_testbed_2,leaf6,1.0,6,48,0.09,1.0,0.1100244498777506
BGP_testbed_2,leaf7,1.0,6,49,0.09,1.0,0.1100244498777506
BGP_testbed_2,leaf8,1.0,6,50,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine1,1.0,6,51,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine2,1.0,6,52,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine3,1.0,6,53,0.07,1.0,0.085995085995086
BGP_testbed_2,spine4,1.0,6,54,0.09,1.0,0.1100244498777506
BGP_testbed_3,leaf1,1.0,6,55,0.36,1.0,0.4128440366972476
BGP_testbed_3,leaf2,1.0,6,56,0.15,1.0,0.18072289156626503
BGP_testbed_3,leaf3,1.0,6,57,0.17,1.0,0.20383693045563553
BGP_testbed_3,leaf5,1.0,6,58,0.18,1.0,0.21531100478468898
BGP_testbed_3,leaf6,1.0,6,59,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf7,1.0,6,60,0.13,1.0,0.15738498789346247
BGP_testbed_3,leaf8,1.0,6,61,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine1,1.0,6,62,0.14,1.0,0.16908212560386476
BGP_testbed_3,spine2,1.0,6,63,0.11,1.0,0.13381995133819952
BGP_testbed_3,spine3,1.0,6,64,0.14,1.0,0.16908212560386476
BGP_testbed_3,spine4,1.0,6,65,0.12,1.0,0.14563106796116504
BGP_testbed_2,leaf1,1.0,8,66,0.1,1.0,0.12195121951219513
BGP_testbed_2,leaf2,1.0,8,67,0.08,1.0,0.09803921568627451
BGP_testbed_2,leaf3,1.0,8,68,0.07,1.0,0.085995085995086
BGP_testbed_2,leaf5,1.0,8,69,0.08,1.0,0.09803921568627451
BGP_testbed_2,leaf6,1.0,8,70,0.07,1.0,0.085995085995086
BGP_testbed_2,leaf7,1.0,8,71,0.07,1.0,0.085995085995086
BGP_testbed_2,leaf8,1.0,8,72,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine1,1.0,8,73,0.06,1.0,0.07389162561576355
BGP_testbed_2,spine2,1.0,8,74,0.05,1.0,0.0617283950617284
BGP_testbed_2,spine3,1.0,8,75,0.07,1.0,0.085995085995086
BGP_testbed_2,spine4,1.0,8,76,0.08,1.0,0.09803921568627451
BGP_testbed_3,leaf1,1.0,8,77,0.17,1.0,0.20383693045563553
BGP_testbed_3,leaf2,1.0,8,78,0.13,1.0,0.15738498789346247
BGP_testbed_3,leaf3,1.0,8,79,0.11,1.0,0.13381995133819952
BGP_testbed_3,leaf5,1.0,8,80,0.15,1.0,0.18072289156626503
BGP_testbed_3,leaf6,1.0,8,81,0.12,1.0,0.14563106796116504
BGP_testbed_3,leaf7,1.0,8,82,0.12,1.0,0.14563106796116504
