dataset,node,n_neighbors,leaf_size,contamination,id,precision,recall,fscore
BGP_testbed_2,leaf1,1,30,0.001,0,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf2,1,30,0.001,1,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf3,1,30,0.001,2,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf5,1,30,0.001,3,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf6,1,30,0.001,4,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf7,1,30,0.001,5,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf8,1,30,0.001,6,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine1,1,30,0.001,7,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine2,1,30,0.001,8,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine3,1,30,0.001,9,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine4,1,30,0.001,10,1.0,0.14,0.44871794871794873
BGP_testbed_3,leaf1,1,30,0.001,11,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf2,1,30,0.001,12,1.0,0.25,0.625
BGP_testbed_3,leaf3,1,30,0.001,13,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf5,1,30,0.001,14,1.0,0.25,0.625
BGP_testbed_3,leaf6,1,30,0.001,15,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf7,1,30,0.001,16,1.0,0.25,0.625
BGP_testbed_3,leaf8,1,30,0.001,17,1.0,0.25,0.625
BGP_testbed_3,spine1,1,30,0.001,18,1.0,0.12,0.4054054054054054
BGP_testbed_3,spine2,1,30,0.001,19,1.0,0.25,0.625
BGP_testbed_3,spine3,1,30,0.001,20,1.0,0.25,0.625
BGP_testbed_3,spine4,1,30,0.001,21,1.0,0.12,0.4054054054054054
BGP_testbed_2,leaf1,1,30,0.006,22,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf2,1,30,0.006,23,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf3,1,30,0.006,24,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,1,30,0.006,25,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf6,1,30,0.006,26,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf7,1,30,0.006,27,1.0,0.29,0.6712962962962963
BGP_testbed_2,leaf8,1,30,0.006,28,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine1,1,30,0.006,29,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine2,1,30,0.006,30,0.67,0.29,0.5308743169398906
BGP_testbed_2,spine3,1,30,0.006,31,1.0,0.29,0.6712962962962963
BGP_testbed_2,spine4,1,30,0.006,32,1.0,0.43,0.7904411764705883
BGP_testbed_3,leaf1,1,30,0.006,33,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf2,1,30,0.006,34,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf3,1,30,0.006,35,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf5,1,30,0.006,36,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf6,1,30,0.006,37,1.0,0.25,0.625
BGP_testbed_3,leaf7,1,30,0.006,38,1.0,0.38,0.753968253968254
BGP_testbed_3,leaf8,1,30,0.006,39,1.0,0.25,0.625
BGP_testbed_3,spine1,1,30,0.006,40,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine2,1,30,0.006,41,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine3,1,30,0.006,42,1.0,0.38,0.753968253968254
BGP_testbed_3,spine4,1,30,0.006,43,1.0,0.5,0.8333333333333334
BGP_testbed_2,leaf1,1,30,0.011,44,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf2,1,30,0.011,45,1.0,0.57,0.8689024390243902
BGP_testbed_2,leaf3,1,30,0.011,46,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf5,1,30,0.011,47,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf6,1,30,0.011,48,1.0,0.43,0.7904411764705883
BGP_testbed_2,leaf7,1,30,0.011,49,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf8,1,30,0.011,50,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine1,1,30,0.011,51,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine2,1,30,0.011,52,0.83,0.71,0.8028610354223432
BGP_testbed_2,spine3,1,30,0.011,53,1.0,0.57,0.8689024390243902
BGP_testbed_2,spine4,1,30,0.011,54,1.0,0.71,0.9244791666666666
BGP_testbed_3,leaf1,1,30,0.011,55,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf2,1,30,0.011,56,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf3,1,30,0.011,57,1.0,0.75,0.9375
BGP_testbed_3,leaf5,1,30,0.011,58,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf6,1,30,0.011,59,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf7,1,30,0.011,60,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf8,1,30,0.011,61,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine1,1,30,0.011,62,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine2,1,30,0.011,63,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine3,1,30,0.011,64,1.0,0.5,0.8333333333333334
BGP_testbed_3,spine4,1,30,0.011,65,1.0,0.5,0.8333333333333334
BGP_testbed_2,leaf1,1,30,0.016,66,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf2,1,30,0.016,67,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf3,1,30,0.016,68,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf5,1,30,0.016,69,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf6,1,30,0.016,70,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,1,30,0.016,71,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf8,1,30,0.016,72,1.0,0.43,0.7904411764705883
BGP_testbed_2,spine1,1,30,0.016,73,1.0,0.86,0.9684684684684686
BGP_testbed_2,spine2,1,30,0.016,74,0.83,0.71,0.8028610354223432
BGP_testbed_2,spine3,1,30,0.016,75,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine4,1,30,0.016,76,1.0,0.86,0.9684684684684686
BGP_testbed_3,leaf1,1,30,0.016,77,1.0,0.5,0.8333333333333334
BGP_testbed_3,leaf2,1,30,0.016,78,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf3,1,30,0.016,79,1.0,0.75,0.9375
BGP_testbed_3,leaf5,1,30,0.016,80,1.0,0.75,0.9375
BGP_testbed_3,leaf6,1,30,0.016,81,1.0,0.75,0.9375
BGP_testbed_3,leaf7,1,30,0.016,82,1.0,0.75,0.9375
BGP_testbed_3,leaf8,1,30,0.016,83,1.0,0.62,0.8908045977011495
BGP_testbed_3,spine1,1,30,0.016,84,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.016,85,1.0,0.75,0.9375
BGP_testbed_3,spine3,1,30,0.016,86,1.0,0.75,0.9375
BGP_testbed_3,spine4,1,30,0.016,87,1.0,0.62,0.8908045977011495
BGP_testbed_2,leaf1,1,30,0.021,88,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf2,1,30,0.021,89,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf3,1,30,0.021,90,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf5,1,30,0.021,91,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf6,1,30,0.021,92,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,1,30,0.021,93,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf8,1,30,0.021,94,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine1,1,30,0.021,95,1.0,0.86,0.9684684684684686
BGP_testbed_2,spine2,1,30,0.021,96,0.83,0.71,0.8028610354223432
BGP_testbed_2,spine3,1,30,0.021,97,1.0,0.86,0.9684684684684686
BGP_testbed_2,spine4,1,30,0.021,98,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.021,99,1.0,0.62,0.8908045977011495
BGP_testbed_3,leaf2,1,30,0.021,100,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf3,1,30,0.021,101,1.0,0.75,0.9375
BGP_testbed_3,leaf5,1,30,0.021,102,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf6,1,30,0.021,103,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf7,1,30,0.021,104,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf8,1,30,0.021,105,1.0,0.75,0.9375
BGP_testbed_3,spine1,1,30,0.021,106,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.021,107,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine3,1,30,0.021,108,1.0,0.75,0.9375
BGP_testbed_3,spine4,1,30,0.021,109,1.0,0.75,0.9375
BGP_testbed_2,leaf1,1,30,0.026000000000000002,110,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf2,1,30,0.026000000000000002,111,1.0,1.0,1.0
BGP_testbed_2,leaf3,1,30,0.026000000000000002,112,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf5,1,30,0.026000000000000002,113,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf6,1,30,0.026000000000000002,114,1.0,0.71,0.9244791666666666
BGP_testbed_2,leaf7,1,30,0.026000000000000002,115,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf8,1,30,0.026000000000000002,116,1.0,0.71,0.9244791666666666
BGP_testbed_2,spine1,1,30,0.026000000000000002,117,1.0,0.86,0.9684684684684686
BGP_testbed_2,spine2,1,30,0.026000000000000002,118,0.86,0.86,0.86
BGP_testbed_2,spine3,1,30,0.026000000000000002,119,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine4,1,30,0.026000000000000002,120,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.026000000000000002,121,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf2,1,30,0.026000000000000002,122,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf3,1,30,0.026000000000000002,123,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf5,1,30,0.026000000000000002,124,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf6,1,30,0.026000000000000002,125,1.0,1.0,1.0
BGP_testbed_3,leaf7,1,30,0.026000000000000002,126,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf8,1,30,0.026000000000000002,127,1.0,0.75,0.9375
BGP_testbed_3,spine1,1,30,0.026000000000000002,128,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.026000000000000002,129,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine3,1,30,0.026000000000000002,130,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine4,1,30,0.026000000000000002,131,1.0,0.75,0.9375
BGP_testbed_2,leaf1,1,30,0.031,132,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf2,1,30,0.031,133,1.0,1.0,1.0
BGP_testbed_2,leaf3,1,30,0.031,134,0.86,0.86,0.86
BGP_testbed_2,leaf5,1,30,0.031,135,1.0,1.0,1.0
BGP_testbed_2,leaf6,1,30,0.031,136,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf7,1,30,0.031,137,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf8,1,30,0.031,138,1.0,1.0,1.0
BGP_testbed_2,spine1,1,30,0.031,139,1.0,0.86,0.9684684684684686
BGP_testbed_2,spine2,1,30,0.031,140,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine3,1,30,0.031,141,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine4,1,30,0.031,142,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.031,143,1.0,0.88,0.9734513274336285
BGP_testbed_3,leaf2,1,30,0.031,144,1.0,1.0,1.0
BGP_testbed_3,leaf3,1,30,0.031,145,1.0,1.0,1.0
BGP_testbed_3,leaf5,1,30,0.031,146,1.0,1.0,1.0
BGP_testbed_3,leaf6,1,30,0.031,147,1.0,1.0,1.0
BGP_testbed_3,leaf7,1,30,0.031,148,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.031,149,1.0,0.75,0.9375
BGP_testbed_3,spine1,1,30,0.031,150,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.031,151,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine3,1,30,0.031,152,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.031,153,1.0,0.88,0.9734513274336285
BGP_testbed_2,leaf1,1,30,0.036000000000000004,154,1.0,1.0,1.0
BGP_testbed_2,leaf2,1,30,0.036000000000000004,155,1.0,1.0,1.0
BGP_testbed_2,leaf3,1,30,0.036000000000000004,156,0.75,0.86,0.7696897374701672
BGP_testbed_2,leaf5,1,30,0.036000000000000004,157,1.0,1.0,1.0
BGP_testbed_2,leaf6,1,30,0.036000000000000004,158,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf7,1,30,0.036000000000000004,159,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf8,1,30,0.036000000000000004,160,1.0,1.0,1.0
BGP_testbed_2,spine1,1,30,0.036000000000000004,161,0.86,0.86,0.86
BGP_testbed_2,spine2,1,30,0.036000000000000004,162,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine3,1,30,0.036000000000000004,163,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine4,1,30,0.036000000000000004,164,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.036000000000000004,165,0.78,0.88,0.798139534883721
BGP_testbed_3,leaf2,1,30,0.036000000000000004,166,1.0,1.0,1.0
BGP_testbed_3,leaf3,1,30,0.036000000000000004,167,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf5,1,30,0.036000000000000004,168,1.0,1.0,1.0
BGP_testbed_3,leaf6,1,30,0.036000000000000004,169,1.0,1.0,1.0
BGP_testbed_3,leaf7,1,30,0.036000000000000004,170,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.036000000000000004,171,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine1,1,30,0.036000000000000004,172,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.036000000000000004,173,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine3,1,30,0.036000000000000004,174,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.036000000000000004,175,0.88,0.88,0.88
BGP_testbed_2,leaf1,1,30,0.041,176,1.0,1.0,1.0
BGP_testbed_2,leaf2,1,30,0.041,177,1.0,1.0,1.0
BGP_testbed_2,leaf3,1,30,0.041,178,0.75,0.86,0.7696897374701672
BGP_testbed_2,leaf5,1,30,0.041,179,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf6,1,30,0.041,180,1.0,0.86,0.9684684684684686
BGP_testbed_2,leaf7,1,30,0.041,181,0.86,0.86,0.86
BGP_testbed_2,leaf8,1,30,0.041,182,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine1,1,30,0.041,183,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine2,1,30,0.041,184,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine3,1,30,0.041,185,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine4,1,30,0.041,186,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.041,187,0.78,0.88,0.798139534883721
BGP_testbed_3,leaf2,1,30,0.041,188,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.041,189,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf5,1,30,0.041,190,1.0,1.0,1.0
BGP_testbed_3,leaf6,1,30,0.041,191,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf7,1,30,0.041,192,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.041,193,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine1,1,30,0.041,194,1.0,0.75,0.9375
BGP_testbed_3,spine2,1,30,0.041,195,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.041,196,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.041,197,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.046,198,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf2,1,30,0.046,199,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf3,1,30,0.046,200,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf5,1,30,0.046,201,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf6,1,30,0.046,202,1.0,1.0,1.0
BGP_testbed_2,leaf7,1,30,0.046,203,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf8,1,30,0.046,204,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine1,1,30,0.046,205,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine2,1,30,0.046,206,0.88,1.0,0.9016393442622952
BGP_testbed_2,spine3,1,30,0.046,207,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.046,208,1.0,1.0,1.0
BGP_testbed_3,leaf1,1,30,0.046,209,0.78,0.88,0.798139534883721
BGP_testbed_3,leaf2,1,30,0.046,210,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf3,1,30,0.046,211,0.8,1.0,0.8333333333333334
BGP_testbed_3,leaf5,1,30,0.046,212,1.0,1.0,1.0
BGP_testbed_3,leaf6,1,30,0.046,213,0.89,1.0,0.9100204498977507
BGP_testbed_3,leaf7,1,30,0.046,214,1.0,1.0,1.0
BGP_testbed_3,leaf8,1,30,0.046,215,1.0,1.0,1.0
BGP_testbed_3,spine1,1,30,0.046,216,1.0,0.88,0.9734513274336285
BGP_testbed_3,spine2,1,30,0.046,217,0.89,1.0,0.9100204498977507
BGP_testbed_3,spine3,1,30,0.046,218,1.0,1.0,1.0
BGP_testbed_3,spine4,1,30,0.046,219,0.78,0.88,0.798139534883721
BGP_testbed_2,leaf1,1,30,0.051000000000000004,220,0.78,1.0,0.8158995815899582
BGP_testbed_2,leaf2,1,30,0.051000000000000004,221,0.88,1.0,0.9016393442622952
BGP_testbed_2,leaf3,1,30,0.051000000000000004,222,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf5,1,30,0.051000000000000004,223,0.58,1.0,0.6331877729257641
BGP_testbed_2,leaf6,1,30,0.051000000000000004,224,1.0,1.0,1.0
BGP_testbed_2,leaf7,1,30,0.051000000000000004,225,0.7,1.0,0.7446808510638298
BGP_testbed_2,leaf8,1,30,0.051000000000000004,226,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine1,1,30,0.051000000000000004,227,0.58,1.0,0.6331877729257641
BGP_testbed_2,spine2,1,30,0.051000000000000004,228,0.78,1.0,0.8158995815899582
BGP_testbed_2,spine3,1,30,0.051000000000000004,229,0.7,1.0,0.7446808510638298
BGP_testbed_2,spine4,1,30,0.051000000000000004,230,0.88,1.0,0.9016393442622952
BGP_testbed_3,leaf1,1,30,0.051000000000000004,231,0.7,0.88,0.7298578199052134
BGP_testbed_3,leaf2,1,30,0.051000000000000004,232,0.89,1.0,0.9100204498977507
