dataset,node,tree_size,contamination,id,precision,recall,fscore
BGP_testbed_2,leaf1,5,0.001,0,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf2,5,0.001,1,1.0,0.14,0.44871794871794873
BGP_testbed_2,leaf3,5,0.001,2,0.0,0.0,
BGP_testbed_2,leaf5,5,0.001,3,0.0,0.0,
BGP_testbed_2,leaf6,5,0.001,4,0.0,0.0,
BGP_testbed_2,leaf7,5,0.001,5,0.0,0.0,
BGP_testbed_2,leaf8,5,0.001,6,,0.0,
BGP_testbed_2,spine1,5,0.001,7,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine2,5,0.001,8,0.0,0.0,
BGP_testbed_2,spine3,5,0.001,9,1.0,0.14,0.44871794871794873
BGP_testbed_2,spine4,5,0.001,10,,0.0,
BGP_testbed_3,leaf1,5,0.001,11,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf2,5,0.001,12,1.0,0.12,0.4054054054054054
BGP_testbed_3,leaf3,5,0.001,13,0.0,0.0,
BGP_testbed_3,leaf5,5,0.001,14,,0.0,
BGP_testbed_3,leaf6,5,0.001,15,0.0,0.0,
BGP_testbed_3,leaf7,5,0.001,16,,0.0,
BGP_testbed_3,leaf8,5,0.001,17,,0.0,
BGP_testbed_3,spine1,5,0.001,18,0.0,0.0,
BGP_testbed_3,spine2,5,0.001,19,0.0,0.0,
BGP_testbed_3,spine3,5,0.001,20,0.0,0.0,
BGP_testbed_3,spine4,5,0.001,21,1.0,0.12,0.4054054054054054
BGP_testbed_2,leaf1,5,0.006,22,0.67,0.29,0.5308743169398906
BGP_testbed_2,leaf2,5,0.006,23,0.33,0.14,0.2595505617977528
BGP_testbed_2,leaf3,5,0.006,24,0.0,0.0,
BGP_testbed_2,leaf5,5,0.006,25,0.2,0.14,0.1842105263157895
BGP_testbed_2,leaf6,5,0.006,26,0.0,0.0,
BGP_testbed_2,leaf7,5,0.006,27,0.4,0.29,0.37179487179487175
BGP_testbed_2,leaf8,5,0.006,28,0.33,0.14,0.2595505617977528
BGP_testbed_2,spine1,5,0.006,29,0.5,0.29,0.4367469879518072
BGP_testbed_2,spine2,5,0.006,30,0.5,0.14,0.33018867924528306
BGP_testbed_2,spine3,5,0.006,31,0.25,0.14,0.2160493827160494
BGP_testbed_2,spine4,5,0.006,32,0.0,0.0,
BGP_testbed_3,leaf1,5,0.006,33,1.0,0.25,0.625
BGP_testbed_3,leaf2,5,0.006,34,0.5,0.12,0.30612244897959184
BGP_testbed_3,leaf3,5,0.006,35,0.33,0.12,0.24444444444444444
BGP_testbed_3,leaf5,5,0.006,36,0.0,0.0,
BGP_testbed_3,leaf6,5,0.006,37,0.0,0.0,
BGP_testbed_3,leaf7,5,0.006,38,0.5,0.12,0.30612244897959184
BGP_testbed_3,leaf8,5,0.006,39,0.0,0.0,
BGP_testbed_3,spine1,5,0.006,40,0.33,0.12,0.24444444444444444
BGP_testbed_3,spine2,5,0.006,41,0.0,0.0,
BGP_testbed_3,spine3,5,0.006,42,0.0,0.0,
